Time ,error_voltage,reference_voltage,input_voltage,output_voltage,reward,action,action_values
1.6256,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.31282075628656e+71, 'Ki': -4.965572991623281e+71, 'Kd': -4.271077462296792e+71}"
1.6257,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.365948963849425e+71, 'Ki': -5.015228721539514e+71, 'Kd': -4.31378823691976e+71}"
1.6258,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.41960845348792e+71, 'Ki': -5.065381008754909e+71, 'Kd': -4.3569261192889573e+71}"
1.6259,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.473804538022799e+71, 'Ki': -5.116034818842459e+71, 'Kd': -4.400495380481847e+71}"
1.626,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.528542583403027e+71, 'Ki': -5.167195167030883e+71, 'Kd': -4.444500334286666e+71}"
1.6261,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.583828009237057e+71, 'Ki': -5.218867118701191e+71, 'Kd': -4.488945337629532e+71}"
1.6262,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.639666289329427e+71, 'Ki': -5.271055789888203e+71, 'Kd': -4.533834791005827e+71}"
1.6263,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.696062952222721e+71, 'Ki': -5.323766347787085e+71, 'Kd': -4.579173138915886e+71}"
1.6264,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.753023581744948e+71, 'Ki': -5.377004011264956e+71, 'Kd': -4.624964870305044e+71}"
1.6265,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -5.810553817562398e+71, 'Ki': -5.430774051377605e+71, 'Kd': -4.671214519008094e+71}"
1.6266,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.868659355738022e+71, 'Ki': -5.485081791891381e+71, 'Kd': -4.717926664198175e+71}"
1.6267,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.927345949295402e+71, 'Ki': -5.539932609810295e+71, 'Kd': -4.765105930840157e+71}"
1.6268,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.986619408788356e+71, 'Ki': -5.595331935908398e+71, 'Kd': -4.812756990148559e+71}"
1.6269,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.046485602876239e+71, 'Ki': -5.651285255267481e+71, 'Kd': -4.860884560050044e+71}"
1.627,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -6.106950458905001e+71, 'Ki': -5.707798107820156e+71, 'Kd': -4.909493405650545e+71}"
1.6271,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.168019963494051e+71, 'Ki': -5.764876088898358e+71, 'Kd': -4.95858833970705e+71}"
1.6272,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.229700163128991e+71, 'Ki': -5.822524849787342e+71, 'Kd': -5.008174223104121e+71}"
1.6273,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.291997164760281e+71, 'Ki': -5.880750098285215e+71, 'Kd': -5.058255965335162e+71}"
1.6274,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -6.354917136407884e+71, 'Ki': -5.939557599268067e+71, 'Kd': -5.108838524988514e+71}"
1.6275,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.418466307771963e+71, 'Ki': -5.998953175260748e+71, 'Kd': -5.159926910238399e+71}"
1.6276,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -6.482650970849682e+71, 'Ki': -6.058942707013356e+71, 'Kd': -5.211526179340783e+71}"
1.6277,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -6.547477480558179e+71, 'Ki': -6.119532134083489e+71, 'Kd': -5.263641441134191e+71}"
1.6278,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -6.612952255363761e+71, 'Ki': -6.180727455424325e+71, 'Kd': -5.316277855545533e+71}"
1.6279,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.679081777917399e+71, 'Ki': -6.242534729978568e+71, 'Kd': -5.369440634100989e+71}"
1.628,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.745872595696572e+71, 'Ki': -6.304960077278353e+71, 'Kd': -5.423135040441999e+71}"
1.6281,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -6.813331321653538e+71, 'Ki': -6.368009678051137e+71, 'Kd': -5.477366390846419e+71}"
1.6282,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -6.881464634870073e+71, 'Ki': -6.431689774831648e+71, 'Kd': -5.532140054754884e+71}"
1.6283,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -6.950279281218774e+71, 'Ki': -6.496006672579965e+71, 'Kd': -5.587461455302433e+71}"
1.6284,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -7.0197820740309615e+71, 'Ki': -6.560966739305764e+71, 'Kd': -5.643336069855457e+71}"
